"文書ID","複合語","複合語種別"
"1","淡麗グリーンラベル","複合語-事物-一般"
"1","糖質","複合語-事物-一般"
"1","７０％カット","複合語-事物-一般"
"1","カロリー","複合語-事物-一般"
"1","ある","複合語-行為"
"1","発見してしまった","複合語-行為"
"1","なう","複合語-行為"
"2","淡麗グリーンラベル","複合語-事物-一般"
"2","グビ","複合語-事物-一般"
"3","グリーンラベル先輩","複合語-事物-一般"
"3","やられた","複合語-行為"
"3","寝る","複合語-行為"
"3","！","複合語-事物-一般"
"4","数日","複合語-事物-一般"
"4","前","複合語-事物-一般"
"4","冷蔵庫","複合語-事物-一般"
"4","消えた","複合語-行為"
"4","グリーンラベル","複合語-事物-一般"
"4","たす","複合語-行為"
"4","お中元","複合語-事物-一般"
"4","なる","複合語-行為"
"4","帰ってきた","複合語-行為"
"4","！最高","複合語-事物-一般"
"4","！グビグビ！","複合語-事物-一般"
"5","久々","複合語-事物-一般"
"5","グリーンラベル","複合語-事物-一般"
"5","ビール","複合語-事物-一般"
"5","うまい","複合語-評価"
"5","今日","複合語-事物-一般"
"5","夕飯","複合語-事物-一般"
"5","たらこパスタ","複合語-事物-一般"
"5","鮭","複合語-事物-一般"
"5","ムニエル","複合語-事物-一般"
"5","真鯛","複合語-事物-一般"
"5","カルパッチョ","複合語-事物-一般"
"5","スルメイカ","複合語-事物-一般"
"5","刺身","複合語-事物-一般"
"5","パトス","複合語-事物-一般"
"5","アルコール","複合語-事物-一般"
"5","飲みたかった","複合語-評価"
"5","走る","複合語-行為"
"5","我慢","複合語-事物-一般"
"5","明日","複合語-事物-一般"
"5","仕事","複合語-事物-一般"
"5","忙しい","複合語-評価"
"5","１日","複合語-事物-一般"
"5","走る","複合語-行為"
"6","グリーンラベル","複合語-事物-一般"
"6","淡麗","複合語-事物-一般"
"6","味","複合語-事物-一般"
"6","違う","複合語-行為"
"7","カップ焼きそば界","複合語-事物-一般"
"7","キング","複合語-事物-一般"
"7","塩","複合語-事物-一般"
"7","食らう","複合語-行為"
"7","グリーンラベル","複合語-事物-一般"
"7","・","複合語-事物-一般"
"7","ばば様どこ","複合語-事物-一般"
"7","買ってきた","複合語-行為"
"7","帰る","複合語-行為"
"7","買い占めたい","複合語-評価"
"8","＠Ｂ＿Ｂｅａｒ３３","複合語-事物-一般"
"8","おいちゃんグリーンラベル","複合語-事物-一般"
"8","飲んでます","複合語-行為"
"8","照笑","複合語-事物-一般"
"9","さげる","複合語-行為"
"9","グリーンラベルＣＭ","複合語-事物-一般"
"9","にる","複合語-行為"
"9","合流した","複合語-行為"
"9","泣ける","複合語-行為"
"9","寝た","複合語-行為"
"9","治る","複合語-行為"
"9","寝る","複合語-行為"
"10","グリーンラベル","複合語-事物-一般"
"10","なう","複合語-行為"
"11","あんま","複合語-事物-一般"
"11","飲んだ","複合語-行為"
"11","ない","複合語-評価"
"11","発泡酒","複合語-事物-一般"
"11","美味しい","複合語-評価"
"11","無い","複合語-評価"
"11","クリーミーホワイト","複合語-事物-一般"
"11","グリーンラベル","複合語-事物-一般"
"11","好き","複合語-事物-一般"
"11","無い","複合語-評価"
"12","梅酒ストレート三杯グリーンラベル３５０ｍｌ","複合語-事物-一般"
"12","飲んだ","複合語-行為"
"12","一時間","複合語-事物-一般"
"12","半","複合語-事物-一般"
"12","踊った","複合語-行為"
"12","消費した","複合語-事物-一般"
"12","ろ","複合語-事物-一般"
"13","＠ｔｅｒｕ＿ＴＬ７","複合語-事物-一般"
"13","発泡酒","複合語-事物-一般"
"13","グリーンラベル","複合語-事物-一般"
"13","行ける","複合語-行為"
"13","話","複合語-事物-一般"
"13","聞きました","複合語-行為"
"13","？","複合語-事物-一般"
"13","笑","複合語-事物-一般"
"14","クーリーアー","複合語-事物-一般"
"14","アサヒ","複合語-事物-組織-団体"
"14","家","複合語-事物-一般"
"14","冷えてる","複合語-行為"
"14","心","複合語-事物-一般"
"14","～♪","複合語-事物-一般"
"14","頭","複合語-事物-一般"
"14","離れない","複合語-行為"
"14","困る","複合語-行為"
"14","ノエル","複合語-事物-一般"
"14","キャロル","複合語-事物-一般"
"14","うち","複合語-事物-一般"
"14","冷えている","複合語-行為"
"14","キリン","複合語-事物-組織-団体"
"14","グリーンラベル","複合語-事物-一般"
"15","グリーン／ラベル","複合語-事物-一般"
"15","ＣＭ","複合語-事物-一般"
"15","飛鳥","複合語-事物-一般"
"15","見てみたい","複合語-評価"
"15","四つ葉","複合語-事物-一般"
"15","作る","複合語-行為"
"15","やつ（","複合語-事物-一般"
"15","｀","複合語-事物-一般"
"15","）","複合語-事物-一般"
"15","たいす","複合語-行為"
"15","とい","複合語-事物-一般"
"15","ことたけ","複合語-事物-一般"
"15","かさん","複合語-事物-一般"
"15","うま","複合語-事物-一般"
"15","こす","複合語-行為"
"15","だす","複合語-行為"
"15","いい","複合語-評価"
"15","春","複合語-事物-一般"
"16","発泡酒","複合語-事物-一般"
"16","飲める","複合語-行為"
"16","ー！","複合語-事物-一般"
"16","思ってた","複合語-行為"
"16","グリーンラベル","複合語-事物-一般"
"16","飲んだ","複合語-行為"
"16","グリーンラベル","複合語-事物-一般"
"16","日々","複合語-事物-一般"
"17","＠ｍｉｃｃｃｃｃｃａ","複合語-事物-一般"
"17","（泣）","複合語-事物-一般"
"17","なる","複合語-行為"
"17","へそ！","複合語-事物-一般"
"17","飲めた","複合語-行為"
"17","～グリーンラベル","複合語-事物-一般"
"17","割った","複合語-行為"
"17","美味","複合語-事物-一般"
"17","（＞Σ＜）","複合語-事物-一般"
"17","仕事","複合語-事物-一般"
"17","頑張る","複合語-行為"
"17","ねる","複合語-行為"
"17","！","複合語-事物-一般"
"18","淡麗グリーンラベル","複合語-事物-一般"
"18","亀田","複合語-事物-一般"
"18","柿","複合語-事物-一般"
"18","種（生姜じょうゆ味）","複合語-事物-一般"
"18","日経","複合語-事物-組織-団体"
"18","ＮＥＴＷＯＲＫ","複合語-事物-一般"
"18","サイコー","複合語-事物-一般"
"18","ぁ","複合語-事物-一般"
"18","いる","複合語-行為"
"18","！ｗｗｗ","複合語-事物-一般"
"19","淡麗グリーンラベル","複合語-事物-一般"
"19","なう","複合語-行為"
"20","３ＤＳ","複合語-事物-一般"
"20","ニンテンドックス","複合語-事物-一般"
"20","広告冊子","複合語-事物-一般"
"20","探す","複合語-行為"
"20","こよう","複合語-事物-一般"
"20","あと","複合語-事物-一般"
"20","グリーンラベル","複合語-事物-一般"
"20","パーカー","複合語-事物-一般"
"20","欲しい","複合語-評価"
"20","６本","複合語-事物-一般"
"20","ビール","複合語-事物-一般"
"20","飲めない","複合語-行為"
"20","（","複合語-事物-一般"
"20","笑）","複合語-事物-一般"
"21","あと最初","複合語-事物-一般"
"21","５缶","複合語-事物-一般"
"21","スーパードライ","複合語-事物-一般"
"21","いい","複合語-評価"
"21","その後","複合語-事物-一般"
"21","グリーンラベル","複合語-事物-一般"
"21","ブリュー","複合語-事物-一般"
"21","する","複合語-行為"
"21","味","複合語-事物-一般"
"21","わからない","複合語-行為"
"22","グリーンラベル","複合語-事物-一般"
"22","軽やか","複合語-事物-一般"
"22","よい","複合語-評価"
"23","ほろ","複合語-事物-一般"
"23","よい","複合語-評価"
"23","アイスティー","複合語-事物-一般"
"23","おいしかった","複合語-評価"
"23","ー！！","複合語-事物-一般"
"23","ほろ","複合語-事物-一般"
"23","よい","複合語-評価"
"23","ある","複合語-行為"
"23","ジュースみたい","複合語-事物-一般"
"23","チューハイ","複合語-事物-一般"
"23","いい","複合語-評価"
"23","淡麗グリーンラベルＬＯＶＥ？","複合語-事物-一般"
"24","＠ｙｕｎｏｎｗ","複合語-事物-一般"
"24","＠ｎｅｗ＿ｏｐｅｎ","複合語-事物-一般"
"24","淡麗グリーンラベル１０本","複合語-事物-一般"
"24","いう","複合語-行為"
"24","！","複合語-事物-一般"
"25","ある","複合語-行為"
"25","？","複合語-事物-一般"
"25","淡麗グリーン","複合語-事物-一般"
"25","なっちゃった","複合語-行為"
"25","マッコリ","複合語-事物-一般"
"26","＠ｋｙ＿ａｌｉｃｅ","複合語-事物-一般"
"26","グリーンラベル（","複合語-事物-一般"
"26","笑）","複合語-事物-一般"
"26","ＱＴ：","複合語-事物-一般"
"26","いい","複合語-評価"
"26","んダヨ？？","複合語-事物-一般"
"26","ＲＴ","複合語-事物-一般"
"26","＠Ｂｋ＿ｎｅｋｏ３：","複合語-事物-一般"
"26","ほろ酔いツイート","複合語-事物-一般"
"26","？","複合語-事物-一般"
"26","＾＾；","複合語-事物-一般"
"27","＠ｋａｂｏｃｈａｎｚ","複合語-事物-一般"
"27","端麗","複合語-事物-一般"
"27","グリーンラベル","複合語-事物-一般"
"27","～","複合語-事物-一般"
"27","笑","複合語-事物-一般"
"28","＠ｔｍｓｈｉｎｇｏ","複合語-事物-一般"
"28","！","複合語-事物-一般"
"28","つぶやく","複合語-行為"
"28","グリーンラベル","複合語-事物-一般"
"28","飲む","複合語-行為"
"28","ます","複合語-行為"
"28","笑","複合語-事物-一般"
"29","＠Ｂａｍｂｉ０３２７","複合語-事物-一般"
"29","淡麗グリーン","複合語-事物-一般"
"29","？","複合語-事物-一般"
"30","Ｔｏｕｃｈ","複合語-事物-一般"
"30","ｇｏａｌ","複合語-事物-一般"
"30","もと","複合語-事物-一般"
"30","早起き","複合語-事物-一般"
"30","モチベーション","複合語-事物-一般"
"30","上げる","複合語-行為"
"30","買った","複合語-行為"
"30","今","複合語-事物-一般"
"30","朝","複合語-事物-一般"
"30","ジム通い","複合語-事物-一般"
"30","大きい","複合語-評価"
"30","稼いだ","複合語-行為"
"30","ポイント","複合語-事物-一般"
"30","淡麗グリーンラベル","複合語-事物-一般"
"30","３５０ｍｌ","複合語-事物-一般"
"30","飲む","複合語-行為"
"30","削っている","複合語-行為"
"30","なう","複合語-行為"
"31","三階","複合語-事物-一般"
"31","作った","複合語-行為"
"31","ルーフバルコニー","複合語-事物-一般"
"31","門司","複合語-事物-一般"
"31","海","複合語-事物-一般"
"31","先","複合語-事物-一般"
"31","見える","複合語-行為"
"31","小倉","複合語-事物-一般"
"31","夜景","複合語-事物-一般"
"31","見る","複合語-行為"
"31","グリーンラベル","複合語-事物-一般"
"31","なう","複合語-行為"
"31","明日","複合語-事物-一般"
"31","福岡","複合語-事物-一般"
"31","人材系","複合語-事物-一般"
"31","会社","複合語-事物-一般"
"31","面接","複合語-事物-一般"
"31","緊張する","複合語-行為"
"31","深呼吸する","複合語-行為"
"31","いく","複合語-行為"
"32","＠ｃａｆｅｎｉｎａ","複合語-事物-一般"
"32","アタイ","複合語-事物-一般"
"32","淡麗（グリーン）","複合語-事物-一般"
"32","なう","複合語-行為"
"32","（","複合語-事物-一般"
"32","ω","複合語-事物-一般"
"32","）","複合語-事物-一般"
"32","日","複合語-事物-一般"
"32","ニナ","複合語-事物-一般"
"32","ひさ～","複合語-事物-一般"
"33","グリーンラベル","複合語-事物-一般"
"33","旨","複合語-事物-一般"
"33","いう","複合語-行為"
"33","！","複合語-事物-一般"
"34","素敵","複合語-事物-一般"
"34","久永さん","複合語-事物-一般"
"34","やってきてくださる","複合語-行為"
"34","＠ｋｉｙｏ５１３６：","複合語-事物-一般"
"34","三階","複合語-事物-一般"
"34","作った","複合語-行為"
"34","ルーフバルコニー","複合語-事物-一般"
"34","門司","複合語-事物-一般"
"34","海","複合語-事物-一般"
"34","先","複合語-事物-一般"
"34","見える","複合語-行為"
"34","小倉","複合語-事物-一般"
"34","夜景","複合語-事物-一般"
"34","見る","複合語-行為"
"34","グリーンラベル","複合語-事物-一般"
"34","なう","複合語-行為"
"34","明日","複合語-事物-一般"
"34","福岡","複合語-事物-一般"
"34","人材系","複合語-事物-一般"
"34","会社","複合語-事物-一般"
"34","面接","複合語-事物-一般"
"34","緊張する","複合語-行為"
"34","深呼吸する","複合語-行為"
"34","いく","複合語-行為"
"35","淡麗グリーンラベル","複合語-事物-一般"
"35","批判","複合語-事物-一般"
"35","聞いた","複合語-行為"
"35","好き","複合語-事物-一般"
"36","グリーンラベル","複合語-事物-一般"
"36","ロング缶","複合語-事物-一般"
"36","酔います","複合語-行為"
"37","グリーンラベル","複合語-事物-一般"
"37","日本酒","複合語-事物-一般"
"37","ら","複合語-事物-一般"
"38","燃料補給","複合語-事物-一般"
"38","グリーンラベル","複合語-事物-一般"
"38","新しい","複合語-評価"
"38","濃い","複合語-評価"
"38","味","複合語-事物-一般"
"38","糖質０ゼロ","複合語-事物-一般"
"38","出てた","複合語-行為"
"38","乗り換える","複合語-行為"
"38","～","複合語-事物-一般"
"38","安い","複合語-評価"
"39","～","複合語-事物-一般"
"39","最近","複合語-事物-一般"
"39","キリン本格","複合語-事物-組織-団体"
"39","＜辛口麦＞","複合語-事物-一般"
"39","ばる","複合語-行為"
"39","かる","複合語-行為"
"39","飲んでた","複合語-行為"
"39","グリーンラベル","複合語-事物-一般"
"39","物足","複合語-事物-一般"
"39","りん","複合語-事物-一般"
"40","＠Ｓｈｉｎｏｋｅｎ＿ＭＴＶ","複合語-事物-一般"
"40","グリーンラベル","複合語-事物-一般"
"40","飲みたい","複合語-評価"
"40","！金","複合語-事物-一般"
"40","いる","複合語-行為"
"40","！","複合語-事物-一般"
"41","＠ｓａｐｐｕｘｘｘ","複合語-事物-一般"
"41","いま","複合語-事物-一般"
"41","一番","複合語-事物-一般"
"41","好き","複合語-事物-一般"
"41","ニノ","複合語-事物-一般"
"41","グリーンラベル","複合語-事物-一般"
"41","ＣＭ","複合語-事物-一般"
"41","こっちこっち（＾＾）／","複合語-事物-一般"
"41","ニノ","複合語-事物-一般"
"41","！！","複合語-事物-一般"
"41","金曜","複合語-事物-一般"
"41","Ｍステ","複合語-事物-一般"
"41","いる","複合語-行為"
"41","観る","複合語-行為"
"41","誓う","複合語-行為"
"41","笑","複合語-事物-一般"
"42","＠ｊｊｊｙｏｃｈａｎ","複合語-事物-一般"
"42","ＣＭ","複合語-事物-一般"
"42","クリア","複合語-事物-一般"
"42","アサヒ","複合語-事物-組織-団体"
"42","キリングリーンラベル","複合語-事物-組織-団体"
"42","可愛い","複合語-評価"
"42","！！","複合語-事物-一般"
"42","笑","複合語-事物-一般"
"42","向井理","複合語-事物-一般"
"42","年取っていく","複合語-行為"
"42","童顔","複合語-事物-一般"
"42","嫌","複合語-事物-一般"
"42","～（＞＜；）","複合語-事物-一般"
"42","笑","複合語-事物-一般"
"43","昨日","複合語-事物-一般"
"43","深夜","複合語-事物-一般"
"43","嵐","複合語-事物-一般"
"43","ＤＶＤ","複合語-事物-一般"
"43","見る","複合語-行為"
"43","楽しくなる","複合語-行為"
"43","淡麗グリーンラベル５００","複合語-事物-一般"
"43","３","複合語-事物-一般"
"43","氷結ピーチ５００","複合語-事物-一般"
"43","２","複合語-事物-一般"
"43","飲む","複合語-行為"
"43","朝気持ち","複合語-事物-一般"
"43","悪い","複合語-評価"
"43","目","複合語-事物-一般"
"43","覚めた","複合語-行為"
"43","昼","複合語-事物-一般"
"43","倦怠感","複合語-事物-一般"
"43","家","複合語-事物-一般"
"43","飲む","複合語-行為"
"43","有様","複合語-事物-一般"
"43","親","複合語-事物-一般"
"43","言ってない","複合語-行為"
"43","ＫＩＲＩＮ","複合語-事物-一般"
"43","貢献する","複合語-行為"
"43","今","複合語-事物-一般"
"43","気づく","複合語-行為"
"44","麒麟グリーンラベル四つ葉","複合語-事物-一般"
"44","デザイン","複合語-事物-一般"
"44","見た目買い","複合語-事物-一般"
"44","ケンジスタイル","複合語-事物-一般"
"44","チンチン！","複合語-事物-一般"
"45","グリーンラベル","複合語-事物-一般"
"45","５００ｍｌ缶","複合語-事物-一般"
"45","２本","複合語-事物-一般"
"45","飲み干す","複合語-行為"
"45","たった","複合語-行為"
"45","今宵","複合語-事物-一般"
"45","スリ","複合語-事物-一般"
"45","眠れる","複合語-行為"
"45","かしらー","複合語-事物-一般"
"46","ビール","複合語-事物-一般"
"46","シュウマイ","複合語-事物-一般"
"46","リズム隊練習","複合語-事物-一般"
"46","録音","複合語-事物-一般"
"46","きいてる","複合語-行為"
"46","つめれる","複合語-行為"
"46","最近","複合語-事物-一般"
"46","グリーンラベル","複合語-事物-一般"
"46","酔わない","複合語-行為"
"46","なってきた","複合語-行為"
"47","ついていく","複合語-行為"
"47","ますセンパイ！ＲＴ","複合語-事物-一般"
"47","＠ｓａｔｏｓｈｉｉｉｉｉｉ：","複合語-事物-一般"
"47","ビール","複合語-事物-一般"
"47","シュウマイ","複合語-事物-一般"
"47","リズム隊練習","複合語-事物-一般"
"47","録音","複合語-事物-一般"
"47","きいてる","複合語-行為"
"47","つめれる","複合語-行為"
"47","最近","複合語-事物-一般"
"47","グリーンラベル","複合語-事物-一般"
"47","酔わない","複合語-行為"
"47","なってきた","複合語-行為"
"48","ビバストイック♪ＲＴ","複合語-事物-一般"
"48","＠ｎｔｎｅｃｏ","複合語-事物-一般"
"48","ついていく","複合語-行為"
"48","ますセンパイ！ＲＴ","複合語-事物-一般"
"48","＠ｓａｔｏｓｈｉｉｉｉｉｉ：","複合語-事物-一般"
"48","ビール","複合語-事物-一般"
"48","シュウマイ","複合語-事物-一般"
"48","リズム隊練習","複合語-事物-一般"
"48","録音","複合語-事物-一般"
"48","きいてる","複合語-行為"
"48","つめれる","複合語-行為"
"48","最近","複合語-事物-一般"
"48","グリーンラベル","複合語-事物-一般"
"48","酔わない","複合語-行為"
"48","なってきた","複合語-行為"
"49","グリーンラベル","複合語-事物-一般"
"49","飲み干す","複合語-行為"
"49","今日","複合語-事物-一般"
"49","寝る","複合語-行為"
"50","＠ｎｏｉ＿０９０１","複合語-事物-一般"
"50","黒","複合語-事物-一般"
"50","霧島","複合語-事物-一般"
"50","グリーンラベル大好き","複合語-事物-一般"
"50","健康","複合語-事物-一般"
"50","気遣う","複合語-行為"
"50","追加","複合語-事物-一般"
"50","出来る","複合語-行為"
"50","！","複合語-事物-一般"
"50","プロ","複合語-事物-一般"
"50","幼女！","複合語-事物-一般"
"51","＠ｎｏｉ＿０９０１","複合語-事物-一般"
"51","黒","複合語-事物-一般"
"51","霧島","複合語-事物-一般"
"51","グリーンラベル","複合語-事物-一般"
"51","大好き","複合語-事物-一般"
"51","健康志向","複合語-事物-一般"
"51","自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱん","複合語-事物-一般"
"51","つる","複合語-行為"
"51","大好きつるぺ","複合語-事物-一般"
"51","幼女（４才）","複合語-事物-一般"
"51","いい","複合語-評価"
"51","？ｗ","複合語-事物-一般"
"52","黒","複合語-事物-一般"
"52","霧島","複合語-事物-一般"
"52","グリーンラベル","複合語-事物-一般"
"52","大好き","複合語-事物-一般"
"52","健康志向","複合語-事物-一般"
"52","自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱん","複合語-事物-一般"
"52","つる","複合語-行為"
"52","大好きつるぺ","複合語-事物-一般"
"52","幼女（４才）","複合語-事物-一般"
"52","プロフィール","複合語-事物-一般"
"52","する","複合語-行為"
"52","ロリコン","複合語-事物-一般"
"52","入れ忘れてた","複合語-行為"
"52","気付いた","複合語-行為"
"53","黒","複合語-事物-一般"
"53","霧島","複合語-事物-一般"
"53","グリーンラベル","複合語-事物-一般"
"53","大好き","複合語-事物-一般"
"53","健康志向","複合語-事物-一般"
"53","自称身長１８９ｃｍ純粋健全イケメンぴゅあホモぱん","複合語-事物-一般"
"53","つる","複合語-行為"
